dataset,sources,accuracy,ID,Seed,Parameters
Emotify,Vocals,0.23255813953488372,13,10,68
Emotify,Vocals,0.27906976744186046,14,10,69
Emotify,Vocals + Vocals,0.2558139534883721,13,10,70
Emotify,Vocals + Vocals,0.23255813953488372,14,10,71
Emotify,Instrumental,0.3023255813953488,21,20,36
Emotify,Instrumental,0.32558139534883723,22,20,37
Emotify,Instrumental + Instrumental,0.32558139534883723,21,20,38
Emotify,Instrumental + Instrumental,0.32558139534883723,22,20,39
Emotify,Instrumental + Mixed,0.3953488372093023,21,20,40
Emotify,Instrumental + Mixed,0.3953488372093023,22,20,41
Emotify,Instrumental + Vocals,0.23255813953488372,21,20,42
Emotify,Instrumental + Vocals,0.32558139534883723,22,20,43
Emotify,Mixed,0.37209302325581395,21,20,44
Emotify,Mixed,0.32558139534883723,22,20,45
Emotify,Mixed + Mixed,0.37209302325581395,21,20,46
Emotify,Mixed + Mixed,0.37209302325581395,22,20,47
Emotify,Mixed + Vocals,0.3488372093023256,21,20,48
Emotify,Mixed + Vocals,0.3953488372093023,22,20,49
Emotify,Vocals,0.32558139534883723,21,20,50
Emotify,Vocals,0.32558139534883723,22,20,51
Emotify,Vocals + Vocals,0.3488372093023256,21,20,52
Emotify,Vocals + Vocals,0.27906976744186046,22,20,53
Emotify,Instrumental,0.3023255813953488,23,20,54
Emotify,Instrumental,0.37209302325581395,24,20,55
Emotify,Instrumental + Instrumental,0.32558139534883723,23,20,56
Emotify,Instrumental + Instrumental,0.32558139534883723,24,20,57
Emotify,Instrumental + Mixed,0.37209302325581395,23,20,58
Emotify,Instrumental + Mixed,0.37209302325581395,24,20,59
Emotify,Instrumental + Vocals,0.32558139534883723,23,20,60
Emotify,Instrumental + Vocals,0.32558139534883723,24,20,61
Emotify,Mixed,0.3488372093023256,23,20,62
Emotify,Mixed,0.37209302325581395,24,20,63
Emotify,Mixed + Mixed,0.3488372093023256,23,20,64
Emotify,Mixed + Mixed,0.3488372093023256,24,20,65
Emotify,Mixed + Vocals,0.3488372093023256,23,20,66
Emotify,Mixed + Vocals,0.3488372093023256,24,20,67
Emotify,Vocals,0.32558139534883723,23,20,68
Emotify,Vocals,0.32558139534883723,24,20,69
Emotify,Vocals + Vocals,0.32558139534883723,23,20,70
Emotify,Vocals + Vocals,0.32558139534883723,24,20,71
Emotify,Instrumental,0.27906976744186046,31,30,36
Emotify,Instrumental,0.2558139534883721,32,30,37
Emotify,Instrumental + Instrumental,0.23255813953488372,31,30,38
Emotify,Instrumental + Instrumental,0.3023255813953488,32,30,39
Emotify,Instrumental + Mixed,0.4186046511627907,31,30,40
Emotify,Instrumental + Mixed,0.4186046511627907,32,30,41
Emotify,Instrumental + Vocals,0.3488372093023256,31,30,42
Emotify,Instrumental + Vocals,0.2558139534883721,32,30,43
Emotify,Mixed,0.37209302325581395,31,30,44
Emotify,Mixed,0.37209302325581395,32,30,45
Emotify,Mixed + Mixed,0.37209302325581395,31,30,46
Emotify,Mixed + Mixed,0.3953488372093023,32,30,47
Emotify,Mixed + Vocals,0.27906976744186046,31,30,48
Emotify,Mixed + Vocals,0.37209302325581395,32,30,49
Emotify,Vocals,0.2558139534883721,31,30,50
Emotify,Vocals,0.32558139534883723,32,30,51
Emotify,Vocals + Vocals,0.2558139534883721,31,30,52
Emotify,Vocals + Vocals,0.27906976744186046,32,30,53
Emotify,Instrumental,0.37209302325581395,33,30,54
Emotify,Instrumental,0.32558139534883723,34,30,55
Emotify,Instrumental + Instrumental,0.3488372093023256,33,30,56
Emotify,Instrumental + Instrumental,0.3953488372093023,34,30,57
Emotify,Instrumental + Mixed,0.37209302325581395,33,30,58
Emotify,Instrumental + Mixed,0.3488372093023256,34,30,59
Emotify,Instrumental + Vocals,0.37209302325581395,33,30,60
Emotify,Instrumental + Vocals,0.32558139534883723,34,30,61
Emotify,Mixed,0.37209302325581395,33,30,62
Emotify,Mixed,0.37209302325581395,34,30,63
Emotify,Mixed + Mixed,0.3953488372093023,33,30,64
Emotify,Mixed + Mixed,0.3953488372093023,34,30,65
Emotify,Mixed + Vocals,0.32558139534883723,33,30,66
Emotify,Mixed + Vocals,0.3488372093023256,34,30,67
Emotify,Vocals,0.23255813953488372,33,30,68
Emotify,Vocals,0.20930232558139536,34,30,69
Emotify,Vocals + Vocals,0.20930232558139536,33,30,70
Emotify,Vocals + Vocals,0.23255813953488372,34,30,71
Emotify,Instrumental,0.3023255813953488,41,40,36
Emotify,Instrumental,0.2558139534883721,42,40,37
Emotify,Instrumental + Instrumental,0.27906976744186046,41,40,38
Emotify,Instrumental + Instrumental,0.3023255813953488,42,40,39
Emotify,Instrumental + Mixed,0.2558139534883721,41,40,40
Emotify,Instrumental + Mixed,0.3023255813953488,42,40,41
Emotify,Instrumental + Vocals,0.27906976744186046,41,40,42
Emotify,Instrumental + Vocals,0.2558139534883721,42,40,43
Emotify,Mixed,0.20930232558139536,41,40,44
Emotify,Mixed,0.27906976744186046,42,40,45
Emotify,Mixed + Mixed,0.23255813953488372,41,40,46
Emotify,Mixed + Mixed,0.2558139534883721,42,40,47
Emotify,Mixed + Vocals,0.2558139534883721,41,40,48
Emotify,Mixed + Vocals,0.23255813953488372,42,40,49
Emotify,Vocals,0.32558139534883723,41,40,50
Emotify,Vocals,0.3023255813953488,42,40,51
Emotify,Vocals + Vocals,0.3023255813953488,41,40,52
Emotify,Vocals + Vocals,0.2558139534883721,42,40,53
Emotify,Instrumental,0.32558139534883723,43,40,54
Emotify,Instrumental,0.32558139534883723,44,40,55
Emotify,Instrumental + Instrumental,0.32558139534883723,43,40,56
Emotify,Instrumental + Instrumental,0.32558139534883723,44,40,57
Emotify,Instrumental + Mixed,0.3023255813953488,43,40,58
Emotify,Instrumental + Mixed,0.2558139534883721,44,40,59
Emotify,Instrumental + Vocals,0.3023255813953488,43,40,60
Emotify,Instrumental + Vocals,0.3023255813953488,44,40,61
Emotify,Mixed,0.23255813953488372,43,40,62
Emotify,Mixed,0.2558139534883721,44,40,63
Emotify,Mixed + Mixed,0.23255813953488372,43,40,64
Emotify,Mixed + Mixed,0.2558139534883721,44,40,65
Emotify,Mixed + Vocals,0.2558139534883721,43,40,66
Emotify,Mixed + Vocals,0.27906976744186046,44,40,67
Emotify,Vocals,0.2558139534883721,43,40,68
Emotify,Vocals,0.2558139534883721,44,40,69
Emotify,Vocals + Vocals,0.23255813953488372,43,40,70
Emotify,Vocals + Vocals,0.20930232558139536,44,40,71
Emotify,Instrumental,0.3488372093023256,51,50,36
Emotify,Instrumental,0.37209302325581395,52,50,37
Emotify,Instrumental + Instrumental,0.37209302325581395,51,50,38
Emotify,Instrumental + Instrumental,0.3488372093023256,52,50,39
Emotify,Instrumental + Mixed,0.4883720930232558,51,50,40
Emotify,Instrumental + Mixed,0.46511627906976744,52,50,41
Emotify,Instrumental + Vocals,0.3953488372093023,51,50,42
Emotify,Instrumental + Vocals,0.3488372093023256,52,50,43
Emotify,Mixed,0.3953488372093023,51,50,44
Emotify,Mixed,0.4186046511627907,52,50,45
Emotify,Mixed + Mixed,0.4186046511627907,51,50,46
Emotify,Mixed + Mixed,0.4186046511627907,52,50,47
Emotify,Mixed + Vocals,0.37209302325581395,51,50,48
